,index,n_trial,rt,stim_selected,correct_stim,correct,feedback,feedback_congruent,correct_count,trial_till_correct,reversal,block_no,participant_no,timed_out,block_type,time_taken,criteria
54,0,55.0,646.0,1,1,True,correct,True,1.0,3.0,3.0,0.0,1.0,0,Fear,7.952216666666667,0
55,0,56.0,827.0,1,1,True,correct,True,2.0,4.0,3.0,0.0,1.0,0,Fear,7.952216666666667,0
56,0,57.0,1297.0,0,1,False,incorrect,True,0.0,5.0,3.0,0.0,1.0,0,Fear,7.952216666666667,0
57,0,58.0,597.0,1,1,True,correct,True,1.0,6.0,3.0,0.0,1.0,0,Fear,7.952216666666667,0
58,0,59.0,842.0,1,1,True,correct,True,2.0,7.0,3.0,0.0,1.0,0,Fear,7.952216666666667,0
59,0,60.0,591.0,0,1,False,incorrect,True,0.0,8.0,3.0,0.0,1.0,0,Fear,7.952216666666667,0
60,0,61.0,940.0,1,1,True,correct,True,1.0,9.0,3.0,0.0,1.0,0,Fear,7.952216666666667,0
61,0,62.0,2284.0,1,1,True,correct,True,2.0,10.0,3.0,0.0,1.0,0,Fear,7.952216666666667,0
62,0,63.0,854.0,1,1,True,correct,True,3.0,11.0,3.0,0.0,1.0,0,Fear,7.952216666666667,0
63,0,64.0,1440.0,1,1,True,correct,True,4.0,12.0,3.0,0.0,1.0,0,Fear,7.952216666666667,0
64,0,65.0,723.0,1,1,True,correct,True,5.0,13.0,3.0,0.0,1.0,0,Fear,7.952216666666667,0
65,0,66.0,652.0,1,0,False,incorrect,True,0.0,1.0,4.0,0.0,1.0,0,Fear,7.952216666666667,0
66,0,67.0,1010.0,0,0,True,correct,True,1.0,2.0,4.0,0.0,1.0,0,Fear,7.952216666666667,0
67,0,68.0,1429.0,0,0,True,correct,True,2.0,3.0,4.0,0.0,1.0,0,Fear,7.952216666666667,0
68,0,69.0,957.0,0,0,True,correct,True,3.0,4.0,4.0,0.0,1.0,0,Fear,7.952216666666667,0
69,0,70.0,1231.0,0,0,True,correct,True,4.0,5.0,4.0,0.0,1.0,0,Fear,7.952216666666667,0
70,0,71.0,851.0,0,0,True,correct,True,5.0,6.0,4.0,0.0,1.0,0,Fear,7.952216666666667,0
71,0,72.0,539.0,0,1,False,incorrect,True,0.0,1.0,5.0,0.0,1.0,0,Fear,7.952216666666667,0
72,0,73.0,740.0,1,1,True,correct,True,1.0,2.0,5.0,0.0,1.0,0,Fear,7.952216666666667,0
73,0,74.0,1043.0,1,1,True,correct,True,2.0,3.0,5.0,0.0,1.0,0,Fear,7.952216666666667,0
74,0,75.0,1218.0,1,1,True,incorrect,False,3.0,4.0,5.0,0.0,1.0,0,Fear,7.952216666666667,0
75,0,76.0,1087.0,0,1,False,incorrect,True,0.0,5.0,5.0,0.0,1.0,0,Fear,7.952216666666667,0
76,0,77.0,643.0,1,1,True,correct,True,1.0,6.0,5.0,0.0,1.0,0,Fear,7.952216666666667,0
77,0,78.0,576.0,1,1,True,incorrect,False,2.0,7.0,5.0,0.0,1.0,0,Fear,7.952216666666667,0
78,0,79.0,854.0,1,1,True,correct,True,3.0,8.0,5.0,0.0,1.0,0,Fear,7.952216666666667,0
79,0,80.0,713.0,1,1,True,correct,True,4.0,9.0,5.0,0.0,1.0,0,Fear,7.952216666666667,0
80,0,81.0,3305.0,1,1,True,correct,True,5.0,10.0,5.0,0.0,1.0,0,Fear,7.952216666666667,0
81,0,82.0,797.0,1,0,False,incorrect,True,0.0,1.0,6.0,0.0,1.0,0,Fear,7.952216666666667,0
82,0,83.0,794.0,1,0,False,correct,False,0.0,2.0,6.0,0.0,1.0,0,Fear,7.952216666666667,0
83,0,84.0,687.0,1,0,False,incorrect,True,0.0,3.0,6.0,0.0,1.0,0,Fear,7.952216666666667,0
84,0,85.0,734.0,0,0,True,correct,True,1.0,4.0,6.0,0.0,1.0,0,Fear,7.952216666666667,0
85,0,86.0,658.0,0,0,True,correct,True,2.0,5.0,6.0,0.0,1.0,0,Fear,7.952216666666667,0
86,0,87.0,590.0,0,0,True,correct,True,3.0,6.0,6.0,0.0,1.0,0,Fear,7.952216666666667,0
87,0,88.0,739.0,0,0,True,incorrect,False,4.0,7.0,6.0,0.0,1.0,0,Fear,7.952216666666667,0
88,0,89.0,722.0,0,0,True,incorrect,False,5.0,8.0,6.0,0.0,1.0,0,Fear,7.952216666666667,0
89,0,90.0,1539.0,1,1,True,incorrect,False,1.0,1.0,7.0,0.0,1.0,0,Fear,7.952216666666667,0
90,0,91.0,1090.0,0,1,False,incorrect,True,0.0,2.0,7.0,0.0,1.0,0,Fear,7.952216666666667,0
91,0,92.0,847.0,1,1,True,correct,True,1.0,3.0,7.0,0.0,1.0,0,Fear,7.952216666666667,0
92,0,93.0,811.0,1,1,True,correct,True,2.0,4.0,7.0,0.0,1.0,0,Fear,7.952216666666667,0
93,0,94.0,667.0,1,1,True,correct,True,3.0,5.0,7.0,0.0,1.0,0,Fear,7.952216666666667,0
94,0,95.0,781.0,1,1,True,correct,True,4.0,6.0,7.0,0.0,1.0,0,Fear,7.952216666666667,0
95,0,96.0,637.0,1,1,True,correct,True,5.0,7.0,7.0,0.0,1.0,0,Fear,7.952216666666667,0
0,0,1.0,2284.0,1,1,True,correct,True,1.0,1.0,0.0,1.0,1.0,0,Points,11.884533333333334,0
1,0,2.0,1018.0,1,1,True,correct,True,2.0,2.0,0.0,1.0,1.0,0,Points,11.884533333333334,0
2,0,3.0,1288.0,1,1,True,correct,True,3.0,3.0,0.0,1.0,1.0,0,Points,11.884533333333334,0
3,0,4.0,1090.0,1,1,True,correct,True,4.0,4.0,0.0,1.0,1.0,0,Points,11.884533333333334,0
4,0,5.0,621.0,1,1,True,correct,True,5.0,5.0,0.0,1.0,1.0,0,Points,11.884533333333334,0
5,0,6.0,866.0,1,0,False,incorrect,True,0.0,1.0,1.0,1.0,1.0,0,Points,11.884533333333334,0
6,0,7.0,2901.0,0,0,True,incorrect,False,1.0,2.0,1.0,1.0,1.0,0,Points,11.884533333333334,0
7,0,8.0,1085.0,1,0,False,correct,False,0.0,3.0,1.0,1.0,1.0,0,Points,11.884533333333334,0
